,color,title,width,from,to
0,#3EADA5,1:1,1,A,M
1,#3EADA5,1:1,1,A,Aer Lingus
2,#3EADA5,1:1,1,A,AirFrance
3,#3EADA5,1:1,1,A,KLM
4,#3EADA5,1:1,1,A,Air Canada
5,#3EADA5,1:1,1,A,ANA
6,#3EADA5,1:1,1,A,Lifemiles
7,#3EADA5,1:1,1,A,British
8,#3EADA5,1:1,1,A,Virgin Atlantic
9,#3EADA5,1:1,1,A,AeroMexico
10,#3EADA5,1:1,1,A,CATHAY
11,#3EADA5,1:1,1,A,DELTA
12,#3EADA5,1:1,1,A,Emirates
13,#3EADA5,1:1,1,A,Hawaiian
14,#3EADA5,1:1,1,A,Iberia
15,#3EADA5,1:1,1,A,JetBlue
16,#3EADA5,1:1,1,A,Qantas
17,#3EADA5,1:1,1,A,Qatar
18,#3EADA5,1:1,1,A,Singapore
19,#7D7D7D,1:1,1,B,M
20,#7D7D7D,1:1,1,B,Alaska
21,#7D7D7D,1:1,1,B,American
22,#7D7D7D,1:1,1,B,AirFrance
23,#7D7D7D,1:1,1,B,KLM
24,#7D7D7D,1:1,1,B,Air Canada
25,#7D7D7D,1:1,1,B,United
26,#7D7D7D,1:1,1,B,Virgin Atlantic
27,#7D7D7D,1:1,1,B,Turkish
28,#7D7D7D,1:1,1,B,British
29,#7D7D7D,1:1,1,B,CATHAY
30,#7D7D7D,1:1,1,B,Lifemiles
31,#7D7D7D,1:1,1,B,Iberia
32,#7D7D7D,1:1,1,B,Aer Lingus
33,#7D7D7D,1:1,1,B,Emirates
34,#7D7D7D,1:1,1,B,Hawaiian
35,#E09233,1:1,1,Ci,AeroMexico
36,#E09233,1:1,1,Ci,Lifemiles
37,#E09233,1:1,1,Ci,CATHAY
38,#E09233,1:1,1,Ci,Emirates
39,#E09233,1:1,1,Ci,Etihad
40,#E09233,1:1,1,Ci,EVA
41,#E09233,1:1,1,Ci,AirFrance
42,#E09233,1:1,1,Ci,KLM
43,#E09233,1:1,1,Ci,JetBlue
44,#E09233,1:1,1,Ci,Qantas
45,#E09233,1:1,1,Ci,Qatar
46,#E09233,1:1,1,Ci,Singapore
47,#E09233,1:1,1,Ci,Thai
48,#E09233,1:1,1,Ci,Turkish
49,#E09233,1:1,1,Ci,Virgin Atlantic
50,#4478BC,1:1,1,Ch,M
51,#4478BC,1:1,1,Ch,Aer Lingus
52,#4478BC,1:1,1,Ch,Air Canada
53,#4478BC,1:1,1,Ch,British
54,#4478BC,1:1,1,Ch,AirFrance
55,#4478BC,1:1,1,Ch,KLM
56,#4478BC,1:1,1,Ch,Iberia
57,#4478BC,1:1,1,Ch,Singapore
58,#4478BC,1:1,1,Ch,JetBlue
59,#4478BC,1:1,1,Ch,Southwest
60,#4478BC,1:1,1,Ch,United
61,#4478BC,1:1,1,Ch,Virgin Atlantic
62,#284278,1:1,1,Co,AirFrance
63,#284278,1:1,1,Co,KLM
64,#284278,1:1,1,Co,Virgin Atlantic
65,#284278,1:1,1,Co,AeroMexico
66,#284278,1:1,1,Co,Air Canada
67,#284278,1:1,1,Co,CATHAY
68,#284278,1:1,1,Co,Lifemiles
69,#284278,1:1,1,Co,British
70,#284278,1:1,1,Co,Emirates
71,#284278,1:1,1,Co,Etihad
72,#284278,1:1,1,Co,EVA
73,#284278,1:1,1,Co,FINNAIR
74,#284278,1:1,1,Co,Qantas
75,#284278,1:1,1,Co,TAP
76,#284278,1:1,1,Co,Singapore
77,#284278,1:1,1,Co,Turkish
78,#FFEB98,3:1,1,M,Aegean
79,#FFEB98,3:1,1,M,Aer Lingus
80,#FFEB98,3:1,1,M,AeroMexico
81,#FFEB98,3:1,1,M,Air Canada
82,#FFEB98,3:1,1,M,Air China
83,#FFEB98,3:1,1,M,AirFrance
84,#FFEB98,3:1,1,M,KLM
85,#FFEB98,3:1,1,M,Alaska
86,#FFEB98,3:1,1,M,American
87,#FFEB98,3:1,1,M,ANA
88,#FFEB98,3:1,1,M,ASIANA
89,#FFEB98,3:1,1,M,China Southern
90,#FFEB98,3:1,1,M,Copa
91,#FFEB98,3:1,1,M,DELTA
92,#FFEB98,3:1,1,M,Emirates
93,#FFEB98,3:1,1,M,Etihad
94,#FFEB98,3:1,1,M,FRONTIER
95,#FFEB98,3:1,1,M,Hainan
96,#FFEB98,3:1,1,M,Hawaiian
97,#FFEB98,3:1,1,M,Iberia
98,#FFEB98,3:1,1,M,InterMiles
99,#FFEB98,3:1,1,M,JAL
100,#FFEB98,3:1,1,M,Korean
101,#FFEB98,3:1,1,M,LATAM
102,#FFEB98,3:1,1,M,Qantas
103,#FFEB98,3:1,1,M,Qatar
104,#FFEB98,3:1,1,M,Saudia
105,#FFEB98,3:1,1,M,Singapore
106,#FFEB98,3:1,1,M,Southwest
107,#FFEB98,3:1,1,M,TAP
108,#FFEB98,3:1,1,M,Thai
109,#FFEB98,3:1,1,M,Turkish
110,#FFEB98,3:1,1,M,United
111,#FFEB98,3:1,1,M,Virgin Atlantic
112,#FFEB98,3:1,1,M,Virgin Australia
113,#FFEB98,3:1,1,M,Vueling
114,#AA2D35,1:1,1,W,Lifemiles
115,#AA2D35,1:1,1,W,AirFrance
116,#AA2D35,1:1,1,W,KLM
117,#AA2D35,1:1,1,W,British
118,#AA2D35,1:1,1,W,Iberia
119,#AA2D35,1:1,1,W,Aer Lingus
