,border,background,highlight,hover
0,#2B7CE9,#97C2FC,"{'border': '#2B7CE9', 'background': '#D2E5FF'}","{'border': '#2B7CE9', 'background': '#D2E5FF'}"
1,#FFA500,#FFFF00,"{'border': '#FFA500', 'background': '#FFFFA3'}","{'border': '#FFA500', 'background': '#FFFFA3'}"
2,#FA0A10,#FB7E81,"{'border': '#FA0A10', 'background': '#FFAFB1'}","{'border': '#FA0A10', 'background': '#FFAFB1'}"
3,#41A906,#7BE141,"{'border': '#41A906', 'background': '#A1EC76'}","{'border': '#41A906', 'background': '#A1EC76'}"
4,#E129F0,#EB7DF4,"{'border': '#E129F0', 'background': '#F0B3F5'}","{'border': '#E129F0', 'background': '#F0B3F5'}"
5,#7C29F0,#AD85E4,"{'border': '#7C29F0', 'background': '#D3BDF0'}","{'border': '#7C29F0', 'background': '#D3BDF0'}"
6,#C37F00,#FFA807,"{'border': '#C37F00', 'background': '#FFCA66'}","{'border': '#C37F00', 'background': '#FFCA66'}"
7,#4220FB,#6E6EFD,"{'border': '#4220FB', 'background': '#9B9BFD'}","{'border': '#4220FB', 'background': '#9B9BFD'}"
8,#FD5A77,#FFC0CB,"{'border': '#FD5A77', 'background': '#FFD1D9'}","{'border': '#FD5A77', 'background': '#FFD1D9'}"
9,#4AD63A,#C2FABC,"{'border': '#4AD63A', 'background': '#E6FFE3'}","{'border': '#4AD63A', 'background': '#E6FFE3'}"
10,#990000,#EE0000,"{'border': '#BB0000', 'background': '#FF3333'}","{'border': '#BB0000', 'background': '#FF3333'}"
11,#FF6000,#FF6000,"{'border': '#FF6000', 'background': '#FF6000'}","{'border': '#FF6000', 'background': '#FF6000'}"
12,#97C2FC,#2B7CE9,"{'border': '#D2E5FF', 'background': '#2B7CE9'}","{'border': '#D2E5FF', 'background': '#2B7CE9'}"
13,#399605,#255C03,"{'border': '#399605', 'background': '#255C03'}","{'border': '#399605', 'background': '#255C03'}"
14,#B70054,#FF007E,"{'border': '#B70054', 'background': '#FF007E'}","{'border': '#B70054', 'background': '#FF007E'}"
15,#AD85E4,#7C29F0,"{'border': '#D3BDF0', 'background': '#7C29F0'}","{'border': '#D3BDF0', 'background': '#7C29F0'}"
16,#4557FA,#000EA1,"{'border': '#6E6EFD', 'background': '#000EA1'}","{'border': '#6E6EFD', 'background': '#000EA1'}"
17,#FFC0CB,#FD5A77,"{'border': '#FFD1D9', 'background': '#FD5A77'}","{'border': '#FFD1D9', 'background': '#FD5A77'}"
18,#C2FABC,#74D66A,"{'border': '#E6FFE3', 'background': '#74D66A'}","{'border': '#E6FFE3', 'background': '#74D66A'}"
19,#EE0000,#990000,"{'border': '#FF3333', 'background': '#BB0000'}","{'border': '#FF3333', 'background': '#BB0000'}"
